code,rwy,cn,tora_m,toda_m,asda_m,lda_m,width_m,slope
YSHT,36,1,1298,1358,1298,1207,18,Level
YSII,12,1,750,750,750,670,18,Level
YSII,30,1,750,750,750,690,18,Level
YSNF,04,2,1435,1495,1435,1435,30,0.9% down to SW
YSNF,22,2,1435,1495,1435,1435,30,0.9% down to SW
YSNF,11,4,1950,2010,1950,1890,45,0.7% down to W
YSNF,29,4,1950,2010,1950,1890,45,0.7% down to W
YSNK,13,2,1443,1503,1443,1443,30,0.4% down to NW
YSNK,31,2,1443,1503,1443,1443,30,0.4% down to NW
YSNW,03,MIL,2046,2106,2046,2046,45,
YSNW,21,MIL,2046,2106,2046,2046,45,
YSNW,08,MIL,2003,2063,2003,2003,45,
YSNW,26,MIL,2094,2154,2094,2003,45,
YSOL,09,3,2000,2060,2000,2000,30,0.25% down to west
YSOL,27,3,2000,2060,2000,2000,30,0.25% down to west
YSPE,08,2,1711,1771,1711,1711,30,1.4% down to W
YSPE,26,2,1711,1771,1711,1711,30,1.4% down to W
YSRD,06,3,1950,2010,1950,1950,30,0.3% down to SW
YSRD,24,3,1950,2010,1950,1950,30,0.3% down to SW
YSRI,10,MIL,2134,2194,2134,2134,45,
YSRI,28,MIL,2134,2194,2134,2134,45,
YSRN,18,1,1220,1280,1220,1220,18,Level
YSRN,36,1,1220,1280,1220,1220,18,Level
YSSY,07,4,2530,2620,2560,2530,45,0.08% down to S
YSSY,25,4,2530,2590,2530,2429,45,0.08% down to S
YSSY,16L,4,2438,2528,2438,2207,45,0.08% down to S
YSSY,34R,4,2438,2498,2438,2400,45,0.08% down to S
YSSY,16R,4,3962,4052,3992,3877,45,0.2% down to N and 0.1% down to S
YSSY,34L,4,3962,4059,3962,3962,45,0.2% down to N and 0.1% down to S
YSTA,09,1,535,595,535,535,18,0.6% down to W
YSTA,27,1,535,595,535,535,18,0.6% down to W
YSTA,18,1,1011,1066,1011,865,18,Level
YSTA,36,1,1011,1064,1011,1011,18,Level
YSTH,08,2,1070,1130,1070,1070,30,1.3% down to E
YSTH,26,2,1070,1130,1070,1070,30,1.3% down to E
YSTW,06,2,842,902,842,842,30,0.2% down to SW
YSTW,24,2,842,902,842,842,30,0.2% down to SW
YSTW,12L,4,2200,2260,2200,2200,45,0.8% first 1630(5348) down to NW then level
YSTW,30R,4,2200,2260,2200,2200,45,0.8% first 1630(5348) down to NW then level
YSTW,12R,1,1110,1140,1110,1110,18,0.99% first 670M(2198) down to NW then 1.243% to end
YSTW,30L,1,1110,1140,1110,1110,18,0.99% first 670M(2198) down to NW then 1.243% to end
YSTW,18,2,1020,1080,1020,984,30,1.2% down to N
YSTW,36,2,1020,1080,1020,1020,30,1.2% down to N
YSWG,05,3,1770,1830,1770,1770,45,0.2% down to NE
YSWG,23,3,1770,1830,1770,1770,45,0.2% down to NE
YSWG,12,1,851,911,851,851,18,0.6% down to NW
YSWG,30,1,851,924,851,851,18,0.6% down to NW
YSWH,04,2,980,1040,980,980,23,0.2% down to NE
YSWH,22,2,980,1040,980,980,23,0.2% down to NE
YSWH,08,3,1495,1555,1495,1495,30,0.1% down to E
YSWH,26,3,1495,1555,1495,1495,30,0.1% down to E
YSWL,11,3,1403,1463,1403,1403,30,0.5% down to W
YSWL,29,3,1403,1463,1403,1403,30,0.5% down to W
YSWL,18,2,854,914,854,854,18,1.3% down to N
YSWL,36,2,854,914,854,854,18,1.3% down to N
YSWS,05,4,3700,3760,3700,3700,45,0.51% down to NE
YSWS,23,4,3700,3760,3700,3700,45,0.51% down to NE
YTAM,08,2,1091,1151,1091,1091,30,0.8% down to W
YTAM,26,2,1091,1151,1091,1091,30,0.8% down to W
YTAM,12,2,1100,1160,1100,1100,30,0.8% down to NW
YTAM,30,2,1100,1160,1100,1100,30,0.8% down to NW
YTBB,15,2,1097,1157,1097,1097,18,0.6% down to S
YTBB,33,2,1097,1157,1097,1097,18,0.6% down to S
YTDR,17,3,1350,1410,1350,1350,30,FM centre down 0.7% to N and 0.5% to S
YTDR,35,3,1350,1410,1350,1350,30,FM centre down 0.7% to N and 0.5% to S
YTEE,14,3,1800,1860,1800,1800,45,0.26% down to SE
YTEE,32,3,1800,1860,1800,1800,45,0.26% down to SE
YTEF,12,3,2000,2060,2000,2000,30,0.41% down to SE
YTEF,30,3,2000,2060,2000,2000,30,0.41% down to SE
YTEM,05,3,2040,2100,2040,2040,30,0.5% from each end down to centre
YTEM,23,3,2040,2100,2040,1980,30,0.5% from each end down to centre
YTEM,09,1,815,845,815,815,30,Level
YTEM,27,1,815,845,815,815,30,Level
YTEM,18,3,1355,1433,1355,1355,30,0.3% down to N
YTEM,36,3,1355,1415,1355,1341,30,0.3% down to N
YTGM,04,2,846,906,846,846,30,0.4% down to NE
YTGM,22,2,846,906,846,846,30,0.4% down to NE
YTGM,13,2,1463,1523,1463,1463,30,0.1% down to SE
YTGM,31,2,1463,1523,1463,1463,30,0.1% down to SE
YTGT,11,3,2336,2396,2336,2336,30,0.2% down to W
YTGT,29,3,2336,2396,2336,2336,30,0.2% down to W
YTHN,07,3,1900,1960,1900,1900,30,0.14% down to E
YTHN,25,3,1900,1960,1900,1900,30,0.14% down to E
YTIB,02,2,995,1055,995,995,18,0.4% down to SW
YTIB,20,2,995,1055,995,995,18,0.4% down to SW
YTIB,15,2,1532,1592,1532,1532,18,1.0% down to SE
YTIB,33,2,1532,1592,1532,1532,18,1.0% down to SE
YTMO,14,3,1900,1960,1900,1900,30,Level
YTMO,32,3,1900,1960,1900,1900,30,Level
YTMU,17,1,1060,1120,1060,1060,18,0.5% down to N
YTMU,35,1,1060,1120,1060,1060,18,0.5% down to N
YTNG,10,2,1527,1587,1527,1527,30,0.2% down to W
YTNG,28,2,1527,1587,1527,1527,30,0.2% down to W
YTNG,14,1,794,854,794,794,30,0.4% down to NW
YTNG,32,1,794,854,794,794,30,0.4% down to NW
YTNK,07,3,1959,2019,1959,1959,30,0.4% down to W
YTNK,25,3,1959,2019,1959,1959,30,0.4% down to W
YTNK,11,2,1054,1114,1054,1054,23,0.4% down to NW
YTNK,29,2,1054,1178,1054,1054,23,0.4% down to NW
YTOC,09,2,1202,1262,1202,1202,30,0.2% down to W
YTOC,27,2,1202,1262,1202,1202,30,0.2% down to W
YTOC,18,2,1273,1333,1273,1273,30,0.1% down to N
YTOC,36,2,1273,1460,1273,1273,30,0.1% down to N
YTRA,09,3,2100,2160,2100,2100,30,0.5% down to E
YTRA,27,3,2100,2160,2100,2100,30,0.5% down to E
YTRE,04,3,1504,1564,1504,1389,30,0.5% down to NE
YTRE,22,3,1504,1564,1504,1504,30,0.5% down to NE
YTRE,12,1,564,624,564,564,18,0.2% down to SE
YTRE,30,1,564,624,564,564,18,0.2% down to SE
YTST,12,3,1800,1860,1800,1800,30,0.5% down to NW
YTST,30,3,1800,1860,1800,1800,30,0.5% down to NW
YTTI,14,2,982,1042,982,982,30,0.9% down to SE and 0.9% down to NW
YTTI,32,2,982,1042,982,982,30,0.9% down to SE and 0.9% down to NW
YTWB,06,1,660,690,660,660,18,1.2% down to SW
YTWB,24,1,660,690,660,660,18,1.2% down to SW
YTWB,11,2,1221,1281,1221,1221,30,"FM W end 1.2% up to E for 405M, then down 0.7% to E RESA end"
YTWB,29,2,1221,1281,1221,1221,30,"FM W end 1.2% up to E for 405M, then down 0.7% to E RESA end"
YWBL,04,2,1069,1129,1069,1069,23,0.2% down to SW
YWBL,22,2,1069,1129,1069,1069,23,0.2% down to SW
YWBL,13,3,1372,1432,1372,1372,30,0.5% down to SE
YWBL,31,3,1372,1432,1372,1372,30,0.5% down to SE
YWBR,18,2,1590,1650,1590,1590,23,0.2% down to S
YWBR,36,2,1590,1650,1590,1590,23,0.2% down to S
YWCA,03,1,931,991,931,931,18,0.3% down to SW
YWCA,21,1,931,991,931,931,18,0.3% down to SW
YWCA,09,2,1097,1157,1097,1097,30,0.2% down to W
YWCA,27,2,1097,1157,1097,1097,30,0.2% down to W
YWCK,09,2,1640,1700,1640,1640,30,0.26% down to W
YWCK,27,2,1640,1700,1640,1640,30,0.26% down to W
YWDG,10,3,1850,1910,1850,1850,30,0.8% down to W
YWDG,28,3,1850,1910,1850,1850,30,0.8% down to W
YWDH,04,3,1374,1434,1374,1374,30,FM centre 0.65% down to SW and 0.50% down to NE
YWDH,22,3,1374,1434,1374,1374,30,FM centre 0.65% down to SW and 0.50% down to NE
YWGA,09,3,2100,2160,2100,2100,30,0.16% down to W
YWGA,27,3,2100,2160,2100,2100,30,0.16% down to W
YWGT,09,1,530,560,530,530,18,0.2% down to W
YWGT,27,1,530,560,530,530,18,0.2% down to W
YWGT,18,3,1640,1700,1640,1640,30,0.1% down to N
YWGT,36,3,1640,1700,1640,1640,30,0.1% down to N
YWHA,05,3,1500,1708,1500,1500,30,0.1% down to NE
YWHA,23,3,1500,1560,1500,1500,30,0.1% down to NE
YWHA,17,3,1686,1747,1686,1686,30,0.2% down to S
YWHA,35,3,1686,1836,1686,1686,30,0.2% down to S
YWHC,02,2,868,928,868,868,30,0.12% down to SW
YWHC,20,2,868,928,868,868,30,0.12% down to SW
YWHC,12,1,1079,1139,1079,1079,18,0.7% down to NW
YWHC,30,1,1079,1139,1079,1079,18,0.7% down to NW
YWKB,08,3,1372,1432,1372,1372,30,0.3% from THR down to centre
YWKB,26,3,1372,1432,1372,1372,30,0.3% from THR down to centre
YWKB,17,1,763,823,763,763,30,0.4% down to N
YWKB,35,1,763,823,763,763,30,0.4% down to N
YWKS,09T,3,3000,3100,3000,3000,30,1.68% up to E
YWLG,05,3,1626,1686,1626,1626,30,Level
YWLG,23,3,1626,1686,1626,1626,30,Level
YWLG,18,2,1153,1213,1153,1153,30,Level
YWLG,36,2,1153,1213,1153,1153,30,Level
YWLM,12,MIL,3058,3118,3058,3058,45,0.13% down to SE
YWLM,30,MIL,3058,3118,3058,3058,45,0.13% down to SE
YWLU,15,3,1811,1871,1811,1811,30,0.44% down to SE
YWLU,33,3,1811,1871,1811,1811,30,0.44% down to SE
YWMO,09,3,2100,2160,2100,2100,30,0.35% down to E
YWMO,27,3,2100,2160,2100,2100,30,0.35% down to E
YWRN,03,2,1050,1110,1050,1050,30,0.8% down to SW
YWRN,21,2,1050,1127,1050,1050,30,0.8% down to SW
YWRN,09,2,1189,1249,1189,1189,18,0.2% down to W
YWRN,27,2,1189,1249,1189,1189,18,0.2% down to W
YWSL,05,1,500,560,500,500,30,0.3% down to NE
YWSL,23,1,500,560,500,500,30,0.3% down to NE
YWSL,09,3,1803,1863,1803,1803,30,0.1% down to W
YWSL,27,3,1803,1863,1803,1803,30,0.1% down to W
YWSL,14,1,699,759,699,699,30,1.2% down to NW
YWSL,32,1,699,759,699,699,30,1.2% down to NW
YWTN,05,1,890,950,890,890,18,0.1% down to SW
YWTN,23,1,890,950,890,890,18,0.1% down to SW
YWTN,14,3,1402,1462,1402,1402,30,0.5% down to SE
YWTN,32,3,1402,1462,1402,1402,30,0.5% down to SE
YWTO,08,2,1400,1460,1400,1400,23,Level
YWTO,26,2,1400,1460,1400,1400,23,Level
YWTO,17,1,936,996,936,936,18,Level
YWTO,35,1,936,996,936,936,18,Level
YWUD,07,2,939,999,939,939,18,"W end 1.3% down to E, 300M E end level"
YWUD,25,2,939,999,939,939,18,"W end 1.3% down to E, 300M E end level"
YWUD,14,3,1510,1570,1510,1510,30,0.7% down to SE
YWUD,32,3,1510,1570,1510,1510,30,0.7% down to SE
YWWI,14,3,2000,2060,2000,2000,30,
YWWI,32,3,2000,2060,2000,2000,30,
YWWL,04,1,780,840,780,780,18,0.2% down to SW
YWWL,22,1,780,840,780,780,18,0.2% down to SW
YWWL,09,3,1585,1645,1585,1585,30,0.3% down to E
YWWL,27,3,1585,1645,1585,1585,30,0.3% down to E
YWYF,08,1,718,778,718,718,30,Level
YWYF,26,1,718,778,718,718,30,Level
YWYF,17,2,1032,1092,1032,1032,30,0.1% down to N
YWYF,35,2,1032,1092,1032,1032,30,0.1% down to N
YWYM,12,2,1607,1667,1607,1607,18,Level
YWYM,30,2,1607,1667,1607,1607,18,Level
YWYY,05,1,827,857,827,777,18,1% down to NE
YWYY,23,1,827,857,827,767,18,1% down to NE
YWYY,09,3,1650,1710,1650,1650,30,0.6% down to E
YWYY,27,3,1650,1710,1650,1650,30,0.6% down to E
YYKI,12,1,1000,1000,1000,940,18,Level
YYKI,30,1,1000,1000,1000,940,18,Level
YYNG,01,2,1220,1280,1220,1220,18,0.4% down to N
YYNG,19,2,1220,1280,1220,1220,18,0.4% down to N
YYRM,05,1,1090,1150,1090,1090,18,0.4% down to SW
YYRM,23,1,1090,1150,1090,1090,18,0.4% down to SW
YYRM,09,1,756,816,756,756,23,0.2% down to W
YYRM,27,1,756,816,756,756,23,0.2% down to W
YYWG,01,2,1143,1203,1143,1143,18,Level
YYWG,19,2,1203,1263,1203,1125,18,Level
YYWG,05,1,446,476,446,446,18,0.1% down to SW
YYWG,23,1,446,476,446,446,18,0.1% down to SW
