code,rwy,cn,tora_m,toda_m,asda_m,lda_m,width_m,slope
YBRW,21,2,1386,1446,1386,1386,30,800(2625) NE end 0.7% down to NE/SE end level
YBRY,10,3,1940,2000,1940,1880,30,rises at 1.0% FM both THR for first 300M
YBRY,28,3,1940,2000,1940,1880,30,rises at 1.0% FM both THR for first 300M
YBSG,12,MIL,3049,3109,3049,3049,45,0.1% down to NW
YBSG,30,MIL,3049,3109,3049,3049,45,0.1% down to NW
YBSU,13,4,2625,2685,2625,2625,45,Level
YBSU,31,4,2800,2860,2800,2450,45,Level
YBTH,08,2,1318,1378,1318,1318,18,0.6% down to W
YBTH,26,2,1318,1378,1318,1318,18,0.6% down to W
YBTH,17,3,1705,1765,1705,1705,30,0.8% down to N
YBTH,35,3,1705,1765,1705,1705,30,0.8% down to N
YBTI,15,3,1470,1530,1470,1470,30,0.7% down to NW
YBTI,33,3,1470,1530,1470,1470,30,0.7% down to NW
YBTL,01,4,2438,2640,2438,2438,45,0.1% down to N
YBTL,19,4,2438,2640,2438,2438,45,0.1% down to N
YBTL,07,2,1100,1160,1100,1100,30,Level
YBTL,25,2,1100,1160,1100,1100,30,Level
YBUD,07,2,1128,1188,1128,1128,30,0.2% down to NE
YBUD,25,2,1128,1188,1128,1128,30,0.2% down to NE
YBUD,14,3,2000,2090,2000,2000,30,Level
YBUD,32,3,2000,2090,2000,2000,30,Level
YBUN,07,2,1015,1075,1159,1015,18,0.15% down to SW
YBUN,25,2,1219,1279,1219,1015,18,0.15% down to SW
YBWN,04,2,1308,1368,1308,1308,18,0.3% down to NE
YBWN,22,2,1308,1368,1308,1228,18,0.3% down to NE
YBWN,12,1,901,961,901,901,23,0.2% down to SE
YBWN,30,1,901,961,901,901,23,0.2% down to SE
YBWP,12,3,1645,1705,1645,1645,30,0.1% down to NW
YBWP,30,3,1645,1705,1645,1645,30,0.1% down to NW
YBWW,12,4,2870,2930,2870,2870,45,
YBWW,30,4,2870,2930,2870,2870,45,
YBWX,03,3,1900,1960,1900,1900,30,0.15% down to NE
YBWX,21,3,1900,1960,1900,1900,30,0.15% down to NE
YCAR,04,3,1619,1679,1619,1619,30,0.1% down to SW
YCAR,22,3,1619,1679,1619,1619,30,0.1% down to SW
YCAR,18,2,1140,1200,1140,1140,30,0.1% down to S
YCAR,36,2,1140,1200,1140,1140,30,0.1% down to S
YCBA,05,3,1696,1756,1696,1607,30,0.4% down to SW
YCBA,23,3,1696,1756,1696,1607,30,0.4% down to SW
YCBA,17,2,899,959,899,899,23,0.1% down to N
YCBA,35,2,899,959,899,899,23,0.1% down to N
YCBB,01,1,649,709,649,649,60,0.2% DOWN to S
YCBB,19,1,649,709,649,649,60,0.2% DOWN to S
YCBB,11,3,1520,1671,1611,1520,30,0.2% down to E for W 600(1969) 0.3% down to W for remainder
YCBB,29,3,1520,1610,1520,1520,30,0.2% down to E for W 600(1969) 0.3% down to W for remainder
YCBP,04,3,1428,1680,1608,1428,30,0.24% down to SW
YCBP,22,3,1428,1680,1608,1428,30,0.24% down to SW
YCBP,14,2,829,889,829,829,30,0.24% down to NW and 0.2% down to SE
YCBP,32,2,829,889,829,829,30,0.24% down to NW and 0.2% down to SE
YCCA,03,1,593,623,593,593,18,"NE end 0.2% down to SW, SW end 0.6% down to NE"
YCCA,21,1,593,623,593,593,18,"NE end 0.2% down to SW, SW end 0.6% down to NE"
YCCA,14,1,1069,1269,1205,1069,18,"NW end 0.6% down to SE, SE end 0.2% down to NW"
YCCA,32,1,1069,1265,1205,1069,18,"NW end 0.6% down to SE, SE end 0.2% down to NW"
YCCY,06,1,1157,1217,1157,1157,18,Level
YCCY,24,1,1157,1217,1157,1157,18,Level
YCCY,12,3,2000,2069,2000,2000,30,0.1% down to NW
YCCY,30,3,2000,2060,2000,2000,30,0.1% down to NW
YCDO,01,3,1372,1462,1372,1372,30,"430M end level, 0.9% down to S, 150M S end level"
YCDO,19,3,1372,1552,1372,1372,30,"430M end level, 0.9% down to S, 150M S end level"
YCDO,10,2,1203,1263,1203,1203,30,0.2% centre down to both ends
YCDO,28,2,1203,1263,1203,1203,30,0.2% centre down to both ends
YCDU,11,3,1740,1800,1740,1740,30,0.3% down to NW
YCDU,29,3,1740,1800,1740,1740,30,0.3% down to NW
YCDU,17,2,1014,1074,1014,1014,30,0.1% down to S
YCDU,35,2,1014,1074,1014,1014,30,0.1% down to S
YCEE,08,2,1350,1410,1350,1350,18,0.9% down to E
YCEE,26,2,1350,1410,1350,1350,18,0.9% down to E
YCEE,18,1,895,925,895,895,18,1.1% down to S
YCEE,36,1,895,925,895,895,18,1.1% down to S
YCFS,03,4,2080,2140,2080,2080,45,0.1% down to SW
YCFS,21,4,2080,2140,2080,2080,45,0.1% down to SW
YCFS,10,1,851,881,851,726,18,0.3% down to W
